#{"t_start": 1760174605.785933, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.014474
-200.0,200,0.021189
-200.0,200,0.027355
-200.0,200,0.033291
-200.0,200,0.039451
-200.0,200,0.092152
-200.0,200,0.14315
-200.0,200,0.189229
-200.0,200,0.241616
-200.0,200,0.288672
-200.0,200,0.339917
-200.0,200,0.387649
-200.0,200,0.440606
-200.0,200,0.487592
-200.0,200,0.537282
-200.0,200,0.584032
-200.0,200,0.636226
-200.0,200,0.683099
-200.0,200,0.732765
-200.0,200,0.779266
-200.0,200,0.830857
-200.0,200,0.876906
-200.0,200,0.926088
-200.0,200,0.972156
-200.0,200,1.023594
-200.0,200,1.072355
-200.0,200,1.124481
-200.0,200,1.174439
-200.0,200,1.227733
-200.0,200,1.274631
-200.0,200,1.32727
-200.0,200,1.376988
-200.0,200,1.432445
-200.0,200,1.479067
-200.0,200,1.52941
-200.0,200,1.576169
-200.0,200,1.628429
-200.0,200,1.675757
-200.0,200,1.726965
-200.0,200,1.776233
-200.0,200,1.829776
-200.0,200,1.877767
-200.0,200,1.930177
-200.0,200,1.977512
-200.0,200,2.030268
-200.0,200,2.080735
-200.0,200,2.133043
-200.0,200,2.180707
-200.0,200,2.233075
-200.0,200,2.280377
-200.0,200,2.332673
-200.0,200,2.383748
-200.0,200,2.438058
-200.0,200,2.485183
-200.0,200,2.537244
-200.0,200,2.584743
-200.0,200,2.636297
-200.0,200,2.683161
-200.0,200,2.733937
-200.0,200,2.782671
-200.0,200,2.836972
-200.0,200,2.885547
-200.0,200,2.937684
-200.0,200,2.984763
-200.0,200,3.037333
-200.0,200,3.083272
-200.0,200,3.133726
-200.0,200,3.181043
-200.0,200,3.23385
-200.0,200,3.28186
-200.0,200,3.332513
-200.0,200,3.378881
-200.0,200,3.431188
-200.0,200,3.477399
-200.0,200,3.526982
-200.0,200,3.575258
-200.0,200,3.626344
-200.0,200,3.67308
-200.0,200,3.723981
-200.0,200,3.771718
-200.0,200,3.824074
-200.0,200,3.872593
-200.0,200,3.923431
-200.0,200,3.974999
-200.0,200,4.028397
-200.0,200,4.076105
-200.0,200,4.128168
-200.0,200,4.176664
-200.0,200,4.2304
-200.0,200,4.277385
-200.0,200,4.328107
-200.0,200,4.376814
-200.0,200,4.428928
-200.0,200,4.475979
-200.0,200,4.526847
-200.0,200,4.573853
-200.0,200,4.626488
-200.0,200,4.673321
-200.0,200,4.723405
-200.0,200,4.770877
-200.0,200,4.826084
-200.0,200,4.873221
-200.0,200,4.923866
-200.0,200,4.970802
-200.0,200,5.022985
-200.0,200,5.070545
-200.0,200,5.121105
-200.0,200,5.167847
-200.0,200,5.22033
-200.0,200,5.267112
-200.0,200,5.317423
-200.0,200,5.365104
